materialSampleID,country,locality,principalInvestigator,collectorList,coordinateUncertaintyInMeters,minimumElevationInMeters,decimalLongitude,decimalLatitude,yearCollected,monthCollected,dayCollected,specificEpithet,genus,diseaseDetected,fatal,sampleType,diseaseTested,ZEscore,infraspecificEpithet
107,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,20,signifera,Crinia,TRUE,FALSE,swabbing,Bd,1281.6923,
108,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,20,signifera,Crinia,TRUE,FALSE,swabbing,Bd,2801.7227,
109,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,20,signifera,Crinia,TRUE,FALSE,swabbing,Bd,858.3505,
110,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,20,signifera,Crinia,TRUE,FALSE,swabbing,Bd,1705.0341,
111,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,20,signifera,Crinia,TRUE,FALSE,swabbing,Bd,8823.5098,
112,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,27,signifera,Crinia,TRUE,FALSE,swabbing,Bd,7965.1593,
113,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,27,signifera,Crinia,TRUE,FALSE,swabbing,Bd,831.6833,
114,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,27,signifera,Crinia,TRUE,FALSE,swabbing,Bd,5738.4481,
115,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,27,signifera,Crinia,TRUE,FALSE,swabbing,Bd,2650.053,
116,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,27,signifera,Crinia,TRUE,FALSE,swabbing,Bd,2010.0402,
117,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,27,signifera,Crinia,TRUE,FALSE,swabbing,Bd,7760.1552,
118,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,27,signifera,Crinia,TRUE,FALSE,swabbing,Bd,1200.024,
119,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,27,signifera,Crinia,TRUE,FALSE,swabbing,Bd,151.6697,
120,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,27,signifera,Crinia,TRUE,FALSE,swabbing,Bd,2833.39,
121,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,27,signifera,Crinia,TRUE,FALSE,swabbing,Bd,2621.7191,
122,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,27,signifera,Crinia,TRUE,FALSE,swabbing,Bd,1755.0351,
123,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,11,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,983.353,
124,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,11,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,29112.2489,
125,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,11,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,1110.0222,
126,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,11,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,270.0054,
127,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,11,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,165.0033,
128,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,11,16,signifera,Crinia,TRUE,FALSE,swabbing,Bd,3168.3967,
129,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,11,16,signifera,Crinia,TRUE,FALSE,swabbing,Bd,188.3371,
130,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,11,16,signifera,Crinia,TRUE,FALSE,swabbing,Bd,468.3427,
